,Часть 1,Часть 2
153,основная,задача
154,головная,боль
155,ценная,бумага
156,мировое,сообщество
157,политическая,партия
158,родной,язык
159,второе,место
160,ближайший,год
161,новая,форма
162,московский,университет
163,бюджетное,место
164,общественное,сознание
165,российское,общество
166,разная,страна
167,новое,поколение
168,общее,число
169,культурная,политика
170,центральная,часть
171,средняя,школа
172,составная,часть
173,политическая,жизнь
174,короткий,срок
175,новый,закон
176,мировой,кризис
177,погодное,условие
178,важная,роль
179,компьютерная,программа
180,полная,мера
181,современный,мир
182,российская,империя
183,полная,фаза
184,подобный,род
185,летательный,аппарат
186,холодная,война
187,местная,власть
188,рабочий,день
189,российская,школа
190,детский,сад
191,ближайшее,будущее
192,высокая,технология
193,значительная,степень
194,единая,система
195,российский,ученый
196,быстрый,рост
197,эстонский,язык
198,политическая,сила
199,новая,власть
200,следующий,образ
201,образовательный,кредит
202,новый,материал
203,самое,главное
204,основная,часть
205,главная,цель
206,новый,метод
207,скорая,помощь
208,единый,учебник
209,живой,организм
210,современная,наука
211,политический,процесс
212,космический,корабль
213,обратная,связь
214,мировая,экономика
215,наблюдательный,пункт
216,российская,система
217,высочайшее,заведение
218,подводная,лодка
219,старший,брат
220,сельское,поселение
221,углекислый,газ
222,химическая,реакция
223,государственное,управление
224,учебный,год
225,государственная,служба
226,административная,реформа
227,силовая,структура
228,новое,время
229,нижняя,палата
230,новый,проект
231,православная,церковь
232,яркий,пример
233,новая,модель
234,высокая,цена
235,новая,жизнь
236,новый,вид
237,текущий,год
238,важный,фактор
239,нефтяная,компания
240,глобальное,потепление
241,исполнительный,директор
242,современное,общество
243,важная,проблема
244,культурное,наследие
245,финансовая,система
246,второй,этаж
247,особое,внимание
248,внешний,мир
249,международная,организация
250,частное,лицо
251,творческий,труд
252,советский,человек
253,химический,состав
254,электрический,поле
255,огромное,значение
256,человеческий,организм
257,официальное,лицо
258,тихий,океан
259,промышленное,предприятие
260,городская,власть
261,низкий,уровень
262,большая,роль
263,российская,академия
264,исторический,путь
265,художественная,литература
266,первое,лицо
267,зелёная,птица
268,высокое,давление
269,будущий,год
270,федеральный,университет
271,новое,место
272,должностное,лицо
273,большое,число
274,энергетический,поле
275,индивидуальная,деятельность
276,нынешняя,власть
277,естественный,отбор
278,научный,сотрудник
279,столовая,ложка
280,нефтяная,цена
281,иностранный,язык
282,первый,тур
283,главная,проблема
284,большая,проблема
285,российская,политика
286,почтовый,индекс
287,федеральный,орган
288,сложная,система
289,московская,область
290,крайний,случай
291,переходный,период
292,иностранная,инвестиция
293,российское,законодательство
294,первый,заместитель
295,избирательная,комиссия
296,административный,центр
297,математическая,наука
298,художественная,гимнастика
299,главная,причина
300,новый,способ
301,сложная,задача
302,социальная,сфера
303,вооружённая,сила
304,дохлая,лошадь
305,простой,человек
306,конституционный,суд
307,главное,управление
308,российская,наука
309,налоговая,реформа
310,важная,задача
311,общественная,жизнь
312,основное,направление
313,арбитражный,суд
314,гражданская,сила
315,операционная,система
316,когнитивный,диссонанс
317,избирательная,кампания
318,шарова,молния
319,временное,правительство
320,серьёзная,проблема
321,орбитальная,станция
322,главная,роль
323,промышленное,производство
324,генеральный,штаб
325,крупный,бизнес
326,экономический,кризис
327,естественная,наука
328,некоммерческая,организация
329,инновационная,экономика
330,школьное,образование
331,олимпийский,комитет
332,внутреннее,войска
333,населённый,пункт
334,социальная,проблема
335,пленарное,заседание
336,первая,попытка
337,солнечная,батарея
338,информационное,общество
339,российская,газета
340,токарный,станок
341,российская,сторона
342,высокое,качество
343,большое,значение
344,технологический,процесс
345,кандидатская,диссертация
346,новое,правительство
347,судебный,процесс
348,солнечное,затмение
349,экологическая,проблема
350,авторское,право
351,муниципальное,образование
352,российское,образование
353,римский,папа
354,популярный,механика
355,новое,правило
356,российский,гражданин
357,частная,компания
358,свободный,заезд
359,узкий,круг
360,искусственный,интеллект
361,телефонный,код
362,катынское,дело
363,небольшое,количество
364,разный,человек
365,русский,дом
366,российский,банк
367,целевая,программа
368,первый,шаг
369,новая,возможность
370,первая,часть
371,нормальный,человек
372,мировой,океан
373,второй,тур
374,реальный,мир
375,государственная,политика
376,полезное,ископаемое
377,государственный,орган
378,общественная,палата
379,великий,князь
380,великая,революция
381,русский,народ
382,региональное,отделение
383,разная,область
384,политический,деятель
385,государственный,институт
386,основная,цель
387,золотовалютный,резерв
388,чистый,вода
389,здоровый,человек
390,материнский,капитал
391,международная,конференция
392,высокая,степень
393,офисная,мебель
394,союзная,республика
395,спутниковая,связь
396,экономическая,зона
397,первое,восхождение
398,японский,меч
399,трудовой,коллектив
400,оперативный,штаб
401,электрический,ток
402,предвыборная,кампания
403,единый,экзамен
404,левая,рука
405,последний,месяц
406,политическая,реформа
407,широкое,распространение
408,районный,центр
409,пожилой,человек
410,правовое,государство
411,законодательное,собрание
412,российское,государство
413,особый,интерес
414,коммунистическая,партия
415,современная,технология
416,недавнее,время
417,датский,совет
418,умный,человек
419,политическая,деятельность
420,критическая,ситуация
421,нейтронное,исследование
422,исходный,раствор
423,исследовательский,университет
424,собственная,жизнь
425,основная,причина
426,протестное,движение
427,политическая,элита
428,административный,ресурс
429,московское,время
430,ядерное,оружие
431,кристаллическая,решетка
432,совместный,проект
433,национальная,идея
434,неправительственная,организация
435,строительный,материал
436,демократическая,партия
437,арабская,страна
438,советский,ученый
439,земной,шар
440,скорое,время
441,высокая,температура
442,человеческий,язык
443,взрывное,устройство
444,официальный,представитель
445,воинская,часть
446,великая,держава
447,налоговый,орган
448,выдающийся,ученый
449,американский,президент
450,горячая,десятка
451,экономическая,система
452,футбольный,клуб
453,короткое,время
454,постиндустриальное,общество
455,разная,причина
456,самостоятельная,работа
457,артериальное,давление
458,последнее,событие
459,чрезвычайное,положение
460,большая,группа
461,налоговая,система
462,космическое,агентство
463,конституционное,право
464,человеческая,деятельность
465,стихийное,бедствие
466,совместная,работа
467,длительное,время
468,каменный,шар
469,подобная,ситуация
470,горный,район
471,прямая,наводка
472,военный,расход
473,первый,канал
474,современное,государство
475,федеральная,программа
476,высокая,вершина
477,экономический,форум
478,большая,пятерка
479,квадратный,километр
480,электронная,почта
481,новый,тип
482,перспективное,направление
483,немецкий,танк
484,политическая,конкуренция
485,советский,период
486,новая,сила
487,общественный,порядок
488,основная,проблема
489,механическое,свойство
490,земельный,участок
491,известный,ученый
492,разный,род
493,новый,институт
494,полное,затмение
495,золотой,запас
496,нормативный,акт
497,мирный,житель
498,низкая,температура
499,розничная,торговля
500,центральный,банк
501,экономическая,реформа
502,обратная,сторона
503,лунная,программа
504,средний,уровень
505,минувшая,неделя
506,американский,ученый
507,новый,уровень
508,образованный,человек
509,следственный,комитет
510,ведущий,специалист
511,арабское,государство
512,человеческая,жизнь
513,огромная,роль
514,высокий,темп
515,единственный,способ
516,неотъемлемая,часть
517,горная,лыжа
518,разная,степень
519,родительское,поведение
520,вступительный,экзамен
521,интеллектуальный,потенциал
522,политический,режим
523,сырая,нефть
524,широкий,смысл
525,исследовательская,программа
526,редкий,случай
527,исследовательский,центр
528,основной,закон
529,основной,источник
530,правовая,система
531,реальная,жизнь
532,предыдущая,статья
533,огнева,позиция
534,элементарная,частица
535,государственная,система
536,активное,участие
537,общая,площадь
538,немалая,деньги
539,основная,масса
540,новая,проблема
541,внутренний,рынок
542,обозримое,будущее
543,межнациональное,отношение
544,большая,деньги
545,подоходный,налог
546,пенсионный,фонд
547,народный,фронт
548,конкретный,человек
549,первое,время
550,национальная,безопасность
551,национальная,ассамблея
552,хороший,человек
553,крупный,банк
554,научная,теория
555,процентная,ставка
556,социальная,гарантия
557,социальная,группа
558,федеральное,собрание
559,генеральный,прокурор
560,национальный,проект
561,коренной,образ
562,кинетическая,энергия
563,российский,президент
564,налоговая,нагрузка
565,костный,мозг
566,побочный,эффект
567,террористическая,организация
568,начальный,этап
569,национальный,язык
570,капиталистическая,страна
571,российская,история
572,типичное,время
573,национальный,университет
574,термическая,обработка
575,судебное,решение
576,сверхновая,экономика
577,особая,зона
578,крупный,производитель
579,российский,бизнес
580,данный,вопрос
581,научная,журналистика
582,бюджетная,деньги
583,основной,фактор
584,массовое,образование
585,бюджетное,средства
586,двигательная,установка
587,мировая,цена
588,речной,бассейн
589,международный,стандарт
590,внешняя,среда
591,центральное,тело
592,фундаментальное,исследование
593,мировой,уровень
594,мировая,судья
595,благоприятное,условие
596,чрезвычайная,ситуация
597,государственный,реестр
598,промышленный,шпионаж
599,всемирный,форум
600,ключевой,вопрос
601,новая,задача
602,широкий,слой
603,российская,сборная
604,третье,место
605,государственная,структура
606,прошлое,столетие
607,математическая,модель
608,первый,этаж
609,сетевая,структура
610,советский,союз
611,особое,значение
612,питьевой,вода
613,документальный,фильм
614,мировая,система
615,бухгалтерский,учет
616,большой,успех
617,учёная,степень
618,религиозное,чувство
619,социологическое,исследование
620,внутренний,орган
621,рентгеновский,импульс
622,живой,человек
623,платёжная,система
624,образовательная,программа
625,специальная,программа
626,актуальная,проблема
627,трагическое,событие
628,российское,руководство
629,минувшее,воскресенье
630,королевский,институт
631,октябрьская,революция
632,особое,место
633,ядерное,исследование
634,олимпийский,вид
635,частный,бизнес
636,общее,количество
637,олимпийская,чемпионка
638,интеллектуальная,собственность
639,экономическая,теория
640,нынешняя,ситуация
641,серебряный,призер
642,государственный,расход
643,всемирный,банк
644,оперативная,группа
645,ключевая,роль
646,римская,империя
647,разная,группа
648,отбойный,молоток
649,западная,страна
650,длительный,период
651,иностранный,капитал
652,первый,план
653,необходимое,условие
654,медицинская,помощь
655,демократическое,государство
656,новое,направление
657,научное,знание
658,коллективная,гарантия
659,юридическое,лицо
660,персональный,компьютер
661,широкий,круг
662,хроническая,усталость
663,разная,вещь
664,естественная,монополия
665,медицинское,учреждение
666,научный,потенциал
667,химическое,соединение
668,последняя,книга
669,целый,день
670,научное,открытие
671,высокая,скорость
672,резкое,снижение
673,последнее,исследование
674,светлое,будущее
675,низкая,цена
676,новое,условие
677,человеческий,мозг
678,российская,армия
679,основной,состав
680,большее,число
681,сложная,проблема
682,союзное,государство
683,стволовая,клетка
684,автономное,учреждение
685,техническое,решение
686,федеральное,агентство
687,реальное,время
688,новая,экономика
689,вечная,мерзлота
690,местный,орган
691,официальная,статистика
692,гуманитарная,помощь
693,главный,вопрос
694,нобелевский,лауреат
695,богатый,человек
696,первый,месяц
697,черепной,кость
698,достаточное,количество
699,дыхательный,путь
700,характерная,черта
701,палестинский,лидер
702,экспертная,оценка
703,властная,вертикаль
704,брачное,отношение
705,банковская,система
706,демографическая,ситуация
707,общественное,отношение
708,советская,эпоха
709,внешний,вид
710,обычный,человек
711,государственное,учреждение
712,наихороший,результат
713,львиная,доля
714,государственное,финансирование
715,государственное,устройство
716,налоговый,кодекс
717,производительная,сила
718,налоговая,льгота
719,последняя,неделя
720,государственный,экзамен
721,межпланетная,станция
722,второй,секретарь
723,прожиточный,минимум
724,тяжкое,преступление
725,общее,правило
726,налоговое,администрирование
727,космическая,станция
728,временная,администрация
729,налоговое,поступление
730,резервный,фонд
731,газовая,экструзия
732,высокопоставленный,чиновник
733,гелиоцентрическая,система
734,спинной,мозг
735,псковская,область
736,магнитный,резонанс
737,новая,газета
738,собственный,опыт
739,общественный,интерес
740,национальная,валюта
741,медицинская,наука
742,собственное,средства
743,первое,дело
744,широкая,публика
745,федеральная,власть
746,сложная,ситуация
747,новая,методика
748,научное,достижение
749,важный,момент
750,нижняя,часть
751,конкурентное,преимущество
752,реальный,доход
753,пикосекундный,диапазон
754,национальная,культура
755,нормальная,система
756,нефтяной,картель
757,социалистическая,революция
758,первый,полет
759,социальная,выплата
760,медицинский,прогноз
761,общественный,деятель
762,гоночная,серия
763,театральный,центр
764,аналитическая,химия
765,смертная,казнь
766,железнодорожная,станция
767,большее,количество
768,важный,элемент
769,международная,ассоциация
770,международный,арена
771,меньшая,степень
772,горная,порода
773,новый,порядок
774,виртуальный,манекен
775,международный,комитет
776,новая,разработка
777,низкая,ставка
778,русская,армия
779,транспортное,средство
780,первый,курс
781,важное,значение
782,важный,вопрос
783,российский,университет
784,вологодская,область
785,первый,фильм
786,стрелковая,дивизия
787,чеченская,республика
788,чеченская,война
789,экономический,эффект
790,водохозяйственный,участок
791,российский,специалист
792,минувший,год
793,сотовая,связь
794,известный,человек
795,школьный,учебник
796,образовательное,учреждение
797,российский,союз
798,обратный,путь
799,автоматическая,станция
800,короткий,импульс
801,волновой,поток
802,региональный,центр
803,водный,реестр
804,абсолютное,большинство
805,самый,конец
806,американская,компания
807,великий,пост
808,экономическое,положение
809,массовое,сознание
810,великое,противостояние
811,экономическая,проблема
812,средняя,температура
813,нынешний,вид
814,бюджетная,система
815,народное,образование
816,новая,волна
817,массивная,кровопотеря
818,новое,качество
819,фундаментальная,наука
820,нынешнее,положение
821,маршевый,двигатель
822,бюджетный,кодекс
823,планетное,исследование
824,государственное,предприятие
825,верховный,комиссар
826,высочайшая,степень
827,солнечный,свет
828,всемирная,организация
829,свободная,деньги
830,пограничный,слой
831,политическое,решение
832,различный,вид
833,современная,экономика
834,большая,потеря
835,мобильная,связь
836,простой,вопрос
837,заёмное,средства
838,современная,система
839,личный,состав
840,современная,модель
841,уголовный,кодекс
842,независимый,эксперт
843,различная,группа
844,главный,инженер
845,электрохимическая,экстракция
846,уголовная,ответственность
847,основной,вид
848,промышленная,революция
849,совместное,усилие
850,религиозный,обряд
851,второй,план
852,счётная,палата
853,незаконное,формирование
854,огромная,территория
855,процессинговый,центр
856,российский,город
857,организационная,структура
858,наёмный,труд
859,крепостное,право
860,краснодарский,край
861,информационное,агентство
862,окончательное,решение
863,гражданское,право
864,интерактивная,доска
865,либеральная,партия
866,профильное,образование
867,частный,случай
868,солёный,вода
869,грубое,нарушение
870,дальнейшая,судьба
871,мягкая,ткань
872,сточный,вода
873,квантовый,механика
874,отечественная,наука
875,урочная,система
876,красная,голова
877,католическая,церковь
878,главный,герой
879,тонкий,слой
880,решающая,роль
881,близкий,человек
882,экономическое,отношение
883,официальная,версия
884,тверская,область
885,исламский,экстремист
886,левый,мыслитель
887,энергетический,комплекс
888,левая,нога
889,правовая,норма
890,первая,возможность
891,национальная,гордость
892,главный,конструктор
893,большой,труд
894,северная,часть
895,среднее,образование
896,отдельный,вид
897,древнее,время
898,недалёкое,будущее
899,недавнее,прошлое
900,социальный,статус
901,важное,дело
902,конструкторское,бюро
903,большое,внимание
904,массовый,порядок
905,важная,вещь
906,твёрдое,тело
907,полное,соответствие
908,бюджетный,расход
909,пулемётная,очередь
910,сильный,ветер
911,цепная,реакция
912,самое,время
913,чистый,вид
914,немецкий,солдат
915,нынешнее,условие
916,негативное,отношение
917,обитаемый,отсек
918,экономический,факультет
919,областной,центр
920,экономическое,чудо
921,государственный,доход
922,водородная,энергетика
923,экономическая,свобода
924,плановая,проверка
925,новый,договор
926,нужный,компонент
927,спорный,вопрос
928,внешняя,торговля
929,европейский,язык
930,определённый,момент
931,реальный,сектор
932,речной,подбассейн
933,большой,дом
934,донорская,кровь
935,реальная,угроза
936,народное,предприятие
937,оппозиционная,сила
938,французский,язык
939,народная,партия
940,современный,метод
941,мещанский,суд
942,сложный,процесс
943,горный,хребет
944,медицинская,академия
945,равная,степень
946,особый,путь
947,передний,край
948,бесплатное,образование
949,серебристое,облако
950,передняя,часть
951,новая,наука
952,виртуальная,реальность
953,новый,неформал
954,новое,общество
955,валютный,курс
956,выходной,день
957,новое,отношение
958,мембранная,технология
959,новая,партия
960,валовый,продукт
961,крупный,проект
962,международное,дело
963,широкий,спектр
964,международный,союз
965,гуманитарная,наука
966,первый,пример
967,московская,школа
968,политическая,воля
969,железный,занавес
970,коммунальная,услуга
971,президентский,пост
972,ведущий,вуз
973,первое,соревнование
974,первый,случай
975,школьный,учитель
976,ясная,погода
977,новый,инструмент
978,современная,техника
979,политехнический,институт
980,современный,физика
981,русская,литература
982,долгосрочная,перспектива
983,первый,чемпионат
984,ранняя,стадия
985,административная,система
986,первый,опыт
987,международная,выставка
988,значимый,продукт
989,спортивное,скалолазание
990,серьёзное,изменение
991,собственная,система
992,первый,квартал
993,новый,стандарт
994,нерешенная,проблема
995,российский,вуз
996,политический,спектр
997,уникальное,свойство
998,технический,институт
999,разный,уровень
1000,разная,точка
1001,разный,тип
1002,городской,бюджет
1003,высочайший,суд
1004,большая,четверка
1005,богатая,страна
1006,местное,население
1007,настоящее,имя
1008,рабочий,визит
1009,важное,событие
1010,новый,продукт
1011,глубокое,убеждение
1012,крупное,предприятие
1013,бесплатная,услуга
1014,далёкое,прошлое
1015,высокая,зарплата
1016,сельская,местность
1017,ведущий,эксперт
1018,новая,программа
1019,избирательный,участок
1020,средиземный,море
1021,телефонный,звонок
1022,межведомственная,комиссия
1023,ульяновская,область
1024,первый,матч
1025,растительное,масло
1026,воздушный,поток
1027,поисковый,робот
1028,информационный,продукт
1029,солнечный,луч
1030,профессиональное,образование
1031,экспертный,совет
1032,балтийский,флот
1033,объективная,причина
1034,главный,фактор
1035,последний,момент
1036,альтернативное,видение
1037,последняя,четверть
1038,огромное,число
1039,чемпионский,титул
1040,последнее,место
1041,вторая,часть
1042,государственная,поддержка
1043,общечеловеческий,интерес
1044,естественный,образ
1045,иностранный,инвестор
1046,красная,площадь
1047,огромное,влияние
1048,бывший,президент
1049,социологический,опрос
1050,хозяйственная,деятельность
1051,официальное,признание
1052,личное,качество
1053,ближайший,месяц
1054,разное,место
1055,личный,зачет
1056,советское,правительство
1057,программный,продукт
1058,промышленная,продукция
1059,главный,экономист
1060,общественная,наука
1061,банковская,тайна
1062,уголовное,преследование
1063,общий,интерес
1064,молодая,женщина
1065,налоговая,служба
1066,непрерывная,практика
1067,учебное,пособие
1068,соответствующий,образ
1069,очередное,заседание
1070,свободный,доступ
1071,свободное,падение
1072,миротворческая,операция
1073,советская,система
1074,российская,культура
1075,мировой,рекорд
1076,общее,образование
1077,непременное,условие
1078,необходимая,информация
1079,государственное,средства
1080,американская,авиация
1081,огромная,деньги
1082,мировая,практика
1083,отечественный,производитель
1084,интеллектуальная,система
1085,общая,масса
1086,последняя,очередь
1087,старший,сын
1088,общая,численность
1089,продольный,ось
1090,налоговое,законодательство
1091,общий,язык
1092,экспортная,пошлина
1093,редкое,исключение
1094,последующий,год
1095,человеческая,цивилизация
1096,инвестиционный,климат
1097,психическая,деятельность
1098,российское,правительство
1099,российский,парламент
1100,западная,часть
1101,околоземная,орбита
1102,альпийская,лыжа
1103,большое,расстояние
1104,хирургическое,вмешательство
1105,начальное,образование
1106,разный,народ
1107,вредное,вещество
1108,инвестиционная,программа
1109,человеческая,природа
1110,наихорошее,время
1111,деловое,отношение
1112,образовательный,процесс
1113,религиозное,убеждение
1114,человеческая,речь
1115,американское,войска
1116,советское,общество
1117,красивая,женщина
1118,совместное,предприятие
1119,внешнее,воздействие
1120,автомобильная,дорога
1121,российский,народ
1122,историческое,событие
1123,бывший,глава
1124,общая,теория
1125,гражданская,свобода
1126,политическая,борьба
1127,полевой,командир
1128,общая,сумма
1129,химическое,превращение
1130,всероссийская,перепись
1131,дипломатический,источник
1132,крымская,война
1133,третий,рейх
1134,новый,путь
1135,избирательный,фонд
1136,практическое,применение
1137,судебная,реформа
1138,первое,упоминание
1139,демократическая,процедура
1140,сельскохозяйственная,продукция
1141,общая,проблема
1142,крупный,центр
1143,известный,деятель
1144,политическая,репрессия
1145,медицинский,факультет
1146,человеческое,достоинство
1147,ударная,волна
1148,османская,империя
1149,рыночный,механизм
1150,финансовый,центр
1151,русский,писатель
1152,межнациональное,общение
1153,крупная,корпорация
1154,голландская,болезнь
1155,известный,врач
1156,праздничный,день
1157,военный,конфликт
1158,резкий,рост
1159,базовый,элемент
1160,лунное,исследование
1161,горнострелковая,часть
1162,федеральный,центр
1163,историческое,развитие
1164,кредитная,карта
1165,бомбовый,удар
1166,новый,принцип
1167,новый,рекорд
1168,человеческое,лицо
1169,российский,бюджет
1170,первая,неделя
1171,международное,сообщество
1172,послевоенный,год
1173,остальной,мир
1174,исторический,музей
1175,беременная,женщина
1176,действительный,член
1177,первая,очередь
1178,берестяная,грамота
1179,широкая,масса
1180,справочное,издание
1181,свежий,воздух
1182,международное,соревнование
