,Часть 1,Часть 2,Композициональность,
197,прогноз,погоды,1,
198,программа,развития,1,
199,член,партии,1,
200,организм,человека,1,190
201,доллар,миллиона,1,
202,автор,исследования,1,
203,условие,работы,1,
204,мера,пресечения,1,
205,товар,услуг,1,
206,съезд,партии,1,
207,начальник,отдела,1,
208,создание,систем,1,
209,человек,миллиона,1,
210,человек,тысяч,1,
211,лидер,движения,1,
212,большинство,людей,1,
213,качество,жизни,1,
214,редактор,журнала,1,
215,наука,образования,1,
216,наука,техники,1,
217,время,работы,1,
218,кафедра,школы,1,
219,защита,интересов,1,
220,конец,марта,1,
221,процесс,развития,1,
222,субъект,федерации,1,
223,время,жизни,1,
224,постановление,правительства,1,
225,член,семьи,1,
226,директор,школы,1,
227,мясо,птицы,1,
228,факультет,университета,1,
229,тысяча,тонн,1,
230,факультет,экономики,1,
231,член,комитета,1,
232,зависимость,пути,1,
233,снижение,ставки,1,
234,право,свобод,1,
235,решение,суда,1,
236,проведение,политики,1,
237,газета,журналов,1,
238,экспортер,нефти,1,
239,повышение,квалификации,1,
240,развитие,бизнеса,1,
241,доход,населения,1,
242,форма,жизни,0,
243,участник,рынка,1,
244,материал,дела,1,
245,достижение,цели,1,
246,достижение,науки,1,
247,среда,обитания,1,
248,сфера,образования,1,
249,директор,центра,1,
250,длина,реки,1,
251,нарушение,законодательства,1,
252,экономика,стран,1,
253,место,жительства,1,
254,закон,природы,1,
255,мера,безопасности,1,
256,кубок,мира,1,
257,протяжение,столетий,1,
258,заседание,совета,1,
259,система,организма,1,
260,приток,капитала,1,
261,способ,обработки,1,
262,корабль,возвращения,1,
263,снижение,уровня,1,
264,жизнь,страны,1,
265,система,жизнеобеспечения,1,
266,линия,связи,1,
267,элемент,системы,1,
268,место,работы,1,
269,легитимность,власти,1,
270,снижение,налога,1,
271,теория,отбора,1,
272,количество,людей,1,
273,член,команды,1,
274,орден,степени,1,
275,количество,энергии,1,
276,руководство,страны,1,
277,год,смерти,1,
278,тысяча,тысяч,1,
279,нарушение,дисциплины,1,
280,выпускник,вузов,1,
281,вывод,войск,1,
282,начальник,штаба,1,
283,роль,государства,1,
284,участок,мозга,1,
285,бассейн,реки,1,
286,возвращение,короля,1,
287,орган,дел,1,
288,группа,интересов,1,
289,повышение,уровня,1,
290,властелин,колец,0,
291,образование,науки,1,
292,период,времени,1,
293,центр,внимания,1,
294,объем,рынка,1,
295,бюджет,страны,1,
296,число,людей,1,
297,редакция,газет,1,
298,часть,времени,1,
299,результат,труда,1,
300,падение,уровня,1,
301,партия,власти,1,
302,мощность,всасывания,1,
303,знание,языка,1,
304,ряд,случаев,1,
305,представитель,бизнеса,1,
306,свобода,выбора,1,
307,конец,света,0,
308,сфера,производства,1,
309,председатель,комиссии,1,
310,студент,курса,1,
311,мнение,специалистов,1,
312,страна,экспортеров,1,
313,повышение,качества,1,
314,депутат,думы,1,
315,форма,правления,1,
316,скорость,движения,1,
317,министр,здравоохранения,1,
318,министр,культуры,1,
319,министр,энергетики,1,
320,дело,президента,1,
321,учебник,химии,1,
322,курс,доллара,1,
323,область,исследований,1,
324,период,истории,1,
325,ход,событий,1,
326,мнение,большинства,1,
327,депутат,фракции,1,
328,дефицит,бюджета,1,
329,смерть,мозга,1,
330,объем,экспорта,1,
331,деятельность,органов,1,
332,признание,независимости,1,
333,диктатура,развития,1,
334,директор,компании,1,
335,часть,тела,1,
336,длина,волны,1,
337,слой,атмосферы,1,
338,черта,лица,1,
339,сфера,культуры,1,
340,советник,президента,1,
341,орган,самоуправления,0,
342,школа,бизнеса,1,
343,право,граждан,1,
344,сотрудник,института,1,
345,государство,общества,1,
346,тенденция,развития,1,
347,температура,воздуха,1,
348,город,страны,1,
349,темп,развития,1,
350,поток,нейтронов,1,
351,поток,воздуха,1,
352,год,столетия,1,
353,данные,реестра,1,
354,житель,страны,1,
355,продолжительность,фазы,1,
356,доход,бюджета,1,
357,участник,войны,1,
358,стиль,жизни,1,
359,создание,фонда,1,
360,создание,условий,1,
361,управление,службы,1,
362,урегулирование,конфликта,1,
363,уровень,инфляции,1,
364,закупка,оборудования,1,
365,время,существования,1,
366,сфера,технологий,1,
367,условие,жизни,1,
368,вопрос,безопасности,1,
369,нефть,газа,1,
370,группа,риска,0,
371,добыча,нефти,1,
372,результат,голосования,1,
373,путь,модернизации,1,
374,путь,сообщения,1,
375,источник,страха,1,
376,развитие,торговли,1,
377,администрация,области,1,
378,идея,образования,1,
379,конец,начала,1,
380,рамка,проекта,1,
381,рамка,программы,1,
382,развитие,образования,1,
383,язык,народов,1,
384,село,района,1,
385,картина,мира,0,
386,реакция,организма,1,
387,ректор,школы,1,
388,конец,жизни,1,
389,этап,развития,1,
390,рост,производительности,1,
391,институт,имени,1,
392,система,контроля,1,
393,суд,присяжных,0,
394,производство,продукции,1,
395,передача,данных,1,
396,размер,рублей,1,
397,министр,юстиции,1,
398,повышение,цен,1,
399,студент,вузов,1,
400,заключение,договора,1,
401,подавление,восстания,1,
402,фильм,ужасов,1,
403,финансирование,науки,1,
404,форма,отношений,1,
405,сотрудник,органов,1,
406,движение,транспорта,1,
407,участок,реки,1,
408,группа,населения,1,
409,район,города,1,
410,источник,информации,1,
411,данные,агентства,1,
412,тело,человека,1,
413,множество,людей,1,
414,результат,гонок,1,
415,член,комиссии,1,
416,председатель,правительства,1,
417,эффективность,работы,1,
418,представитель,власти,1,
419,десяток,километров,1,
420,занятость,населения,1,
421,источник,роста,1,
422,заморозка,цен,1,
423,сфера,услуг,1,
424,конец,концов,1,
425,часть,денег,1,
426,работа,органов,1,
427,обсуждение,проблем,1,
428,состав,округа,1,
429,сила,государства,1,
430,состав,правительства,1,
431,развитие,отношений,1,
432,стадия,развития,1,
433,секретарь,горкома,1,
434,причина,падения,1,
435,экспорт,нефти,1,
436,масштаб,страны,1,
437,проблема,глобализации,1,
438,развитие,альпинизма,1,
439,состояние,человека,1,
440,масса,тела,1,
441,масса,людей,1,
442,проведение,эксперимента,1,
443,изменение,системы,1,
444,принятие,законов,1,
445,принятие,закона,1,
446,конфискация,имущества,1,
447,сокращение,квот,1,
448,расход,бюджета,1,
449,страница,истории,0,
450,лидер,партии,1,
451,обмен,веществ,1,
452,форма,кислорода,1,
453,реализация,программы,1,
454,развитие,человечества,1,
455,развитие,человека,1,
456,цех,миманса,1,
457,ребенок,молодежи,1,
458,стечение,обстоятельств,1,
459,качество,продукции,1,
460,статья,ук,1,
461,статья,закона,1,
462,план,развития,1,
463,литр,воды,1,
464,расходование,средств,1,
465,система,власти,1,
466,чемпионка,мира,1,
467,система,связи,1,
468,слово,президента,1,
469,знак,протеста,1,
470,условие,развития,1,
471,человек,мужчин,1,
472,слово,представителей,1,
473,слой,общества,0,
474,руководитель,школы,1,
475,результат,взрыва,1,
476,тысяча,гектаров,1,
477,геохимия,химии,1,
478,здравоохранение,образования,1,
479,уровень,образования,1,
480,биржа,труда,0,
481,тренер,сборной,1,
482,постановка,вопроса,1,
483,условие,существования,1,
484,послание,президента,1,
485,организация,здравоохранения,1,
486,процент,голосов,1,
487,рост,доходов,1,
488,глава,государств,1,
489,уровень,потребления,1,
490,половина,дня,1,
491,процент,населения,1,
492,год,обучения,1,
493,выборы,мэра,1,
494,основание,химии,1,
495,участник,экспедиции,1,
496,тысяча,людей,1,
497,начало,работы,1,
498,скамья,подсудимых,1,
499,охрана,среды,1,
500,история,страны,1,480
501,использование,ресурсов,,
502,начало,операции,,
503,пакет,акций,,
504,титул,чемпиона,,
505,кость,черепа,,
506,город,области,,
507,горком,партии,,
508,точка,опоры,,
509,пульт,управления,,
510,орган,чувств,,
511,год,работы,,
512,применение,мембран,,
513,развитие,спорта,,
514,старт,гонки,,
515,вечер,дня,,
516,место,проведения,,
517,число,студентов,,
518,направление,исследований,,
519,увеличение,количества,,
520,хартия,вольностей,,
521,план,правительства,,
522,степень,тяжести,,
523,использование,средств,,
524,условие,договора,,
525,планета,системы,,
526,канал,связи,,
527,направление,развития,,
528,развитие,промышленности,,
529,верховенство,закона,,
530,уровень,шума,,
531,объем,инвестиций,,
532,причина,возгорания,,
533,период,годов,,
534,безопасность,страны,,
535,начало,апреля,,
536,уплата,налогов,,
537,отдел,информации,,
538,объем,продаж,,
539,станция,метро,,
540,капитан,ранга,,
541,союз,сил,,
542,проведение,операции,,
543,экстремизм,терроризма,,
544,изменение,среды,,
545,вспышка,света,,
546,развитие,капитализма,,
547,число,предприятий,,
548,средство,общения,,
549,присуждение,премии,,
550,срок,обучения,,
551,перспектива,развития,,
552,доля,рынка,,
553,доля,расходов,,
554,университет,школы,,
555,регион,страны,,
556,отрасль,промышленности,,
557,порядок,вещей,,
558,помощник,президента,,
559,мера,предосторожности,,
560,указ,президента,,
561,стакан,водки,,
562,отрасль,экономики,,
563,ребенок,взрослых,,
564,территория,района,,
565,гарантия,дисциплины,,
566,руководитель,управления,,
567,год,перестройки,,
568,представитель,класса,,
569,мнение,исследователей,,
570,представитель,компании,,
571,набор,услуг,,
572,год,лишения,,
573,сфера,применения,,
574,год,заключения,,
575,устье,реки,,
576,глубина,души,,
577,представитель,правительства,,
578,подбассейн,реки,,
579,сфера,влияния,,
580,обладатель,кубка,,
581,поиск,работы,,
582,интерес,групп,,
583,год,правления,,
584,фактор,среды,,
585,технология,изготовления,,
586,район,республики,,
587,участок,земли,,
588,район,края,,
589,правительство,стран,,
590,группа,людей,,
591,теория,эволюции,,
592,практика,студентов,,
593,исполнение,обязанностей,,
594,интерес,общества,,
595,участник,совещания,,
596,температура,воды,,
597,возможность,существования,,
598,участник,процесса,,
599,фаза,затмения,,
600,институт,исследований,,
601,судьба,страны,,
602,количество,очков,,
603,минута,времени,,
604,миллиграмм,капель,,
605,язык,общения,,
606,дефицит,кислорода,,
607,привлечение,инвестиций,,
608,конец,лета,,
609,тысяча,евро,,
610,территория,полигона,,
611,расстояние,центра,,
612,уровень,воды,,
613,тысяча,километров,,
614,диапазон,времен,,
615,метод,управления,,
616,сторона,жизни,,
617,поле,зрения,,
618,визит,президента,,
619,миллион,евро,,
620,экономика,знаний,,
621,разделение,властей,,
622,премия,имени,,
623,поставка,нефти,,
624,сбор,информации,,
625,день,недели,,
626,министр,развития,,
627,пост,президента,,
628,глава,ведомства,,
629,министерство,обороны,,
630,депутат,собрания,,
631,министерство,дел,,
632,пост,главы,,
633,член,академии,,
634,индустрия,роскоши,,
635,итог,выборов,,
636,орбита,планеты,,
637,объем,фонда,,
638,группа,поддержки,,
639,число,жертв,,
640,сила,противника,,
641,продолжительность,жизни,,
642,переработка,сырья,,
643,работа,мозга,,
644,процесс,обучения,,
645,состав,района,,
646,бюро,обкома,,
647,житель,села,,
648,число,мест,,
649,купля,продажи,,
650,часть,системы,,
651,передача,информации,,
652,житель,городов,,
653,система,зрения,,
654,житель,города,,
655,запуск,аппаратов,,
656,центр,столицы,,
657,соблюдение,прав,,
658,работа,правительства,,
659,работа,ученых,,
660,состояние,организма,,
661,служба,помощи,,
662,система,отношений,,
663,произведение,искусства,,
664,сокращение,числа,,
665,произведение,литературы,,
666,путь,решения,,
667,профессор,школы,,
668,загрязнение,среды,,
669,бутылка,водки,,
670,случай,необходимости,,
671,часть,элиты,,
672,активность,мозга,,
673,человек,стороны,,
674,качество,работы,,
675,результат,пожара,,
676,проект,закона,,
677,бюджет,города,,
678,большинство,немцев,,
679,большинство,экспертов,,
680,логика,гламура,,
681,лауреат,премий,,
682,сотня,человек,,
683,скорость,ветра,,
684,собственник,жилья,,
685,центр,мира,,
686,сеть,связи,,
687,событие,жизни,,
688,контроль,времени,,
689,заместитель,главы,,
690,система,автоматизации,,
691,промышленник,предпринимателей,,
692,сосуд,мозга,,
693,замедление,темпов,,
694,контрабанда,оружия,,
695,зона,риска,,
696,проректор,школы,,
697,осуществление,процесса,,
698,часть,муниципалитета,,
699,зона,мозга,,
700,сжигание,топлива,,
701,центр,принятия,,
702,человек,возраста,,
703,отмена,выборов,,
704,заседание,комиссии,,
705,баррель,нефти,,
706,рынок,товаров,,
707,результат,проверки,,
708,система,обучения,,
709,территория,области,,
710,рынок,услуг,,
711,право,голоса,,
712,участник,проекта,,
713,сфера,политики,,
714,отсутствие,средств,,
715,атом,водорода,,
716,координация,деятельности,,
717,рынок,жилья,,
718,ряд,вузов,,
719,ион,калия,,
720,техника,альпинизма,,
721,ирония,судьбы,,
722,обещание,властей,,
723,гражданин,стран,,
724,рынок,роскоши,,
725,ион,металлов,,
726,правило,турнира,,
727,система,органов,,
728,расширение,производства,,
729,лаборатория,института,,
730,система,обеспечения,,
731,участник,чемпионата,,
732,подготовка,кадров,,
733,участник,эксперимента,,
734,заместитель,секретаря,,
735,тип,отношений,,
736,оценка,экспертов,,
737,грань,банкротства,,
738,участник,симпозиума,,
739,сфера,отношений,,
740,мнение,ряда,,
741,группа,компаний,,
742,клетка,мозга,,
743,норма,права,,
744,представитель,группы,,
745,член,организации,,
746,данные,переписи,,
747,интерес,молодежи,,
748,данные,экспертов,,
749,возможность,возникновения,,
750,театр,абсурда,,
751,множество,проблем,,
752,движение,атомов,,
753,двуокись,углерода,,
754,группа,лиц,,
755,подготовка,специалистов,,
756,командир,взвода,,
757,мнение,эксперта,,
758,ряд,регионов,,
759,командир,дивизиона,,
760,председатель,палаты,,
761,председатель,правления,,
762,командир,полка,,
763,собственник,бизнеса,,
764,председатель,суда,,
765,данные,исследований,,
766,освобождение,заложников,,
767,представитель,командования,,
768,клиент,банков,,
769,результат,решения,,
770,представитель,администрации,,
771,представитель,науки,,
772,возврат,денег,,
773,число,вузов,,
774,часть,страны,,
775,совершенствование,системы,,
776,зона,ответственности,,
777,система,координат,,
778,большинство,регионов,,
779,ряд,направлений,,
780,режим,времени,,
781,интерес,страны,,
782,молекула,воды,,
783,группа,человек,,
784,группировка,войск,,
785,ряд,предприятий,,
786,губернатор,края,,
787,представитель,компаний,,
788,губернатор,области,,
789,похолодание,климата,,
790,мужчина,женщины,,
791,позиция,руководства,,
792,кубок,лиги,,
793,бланк,паспорта,,
794,уровень,платы,,
795,организация,деятельности,,
796,слово,властей,,
797,рост,тарифов,,
798,слово,директора,,
799,население,села,,
800,население,республики,,
801,вынесение,приговора,,
802,корреспондент,итогов,,
803,выполнение,задач,,
804,уезд,губернии,,
805,удовлетворение,потребностей,,
806,нарушение,правил,,
807,направление,политики,,
808,время,новостей,,
809,уровень,стран,,
810,выпуск,продукции,,
811,рост,числа,,
812,количество,денег,,
813,нарушение,законов,,
814,нарушение,закона,,
815,рубеж,веков,,
816,рубль,миллиона,,
817,чувство,правоты,,
818,расследование,дела,,
819,расследование,причин,,
820,время,пребывания,,
821,укрепление,связей,,
822,улица,города,,
823,начальник,цеха,,
824,начало,сезона,,
825,котировка,акций,,
826,начало,пути,,
827,уровень,долларов,,
828,уровень,дохода,,
829,значение,слова,,
830,полоса,фазы,,
831,явление,природы,,
832,автор,книги,,
833,начало,декабря,,
834,получение,гражданства,,
835,скорость,света,,
836,прыжок,трамплина,,
837,получение,кредитов,,
838,получение,образования,,
839,выборы,главы,,
840,выборы,губернаторов,,
841,выборы,депутатов,,
842,отдел,кадров,,
843,колебание,решетки,,
844,университет,печати,,
845,рост,импорта,,
846,исследование,планет,,
847,рост,спроса,,
848,время,прохождения,,
849,результат,воздействия,,
850,направление,науки,,
851,поток,обтекания,,
852,прохождение,круга,,
853,триллион,рублей,,
854,случай,использования,,
855,организация,страховки,,
856,воспаление,легких,,
857,глава,компании,,
858,поколение,людей,,
859,случай,нарушения,,
860,кафедра,университета,,
861,эпидемия,чумы,,
862,болезнь,сердца,,
863,год,месяцев,,
864,падение,флажка,,
865,дело,беженцев,,
866,использование,технологий,,
867,затрата,энергии,,
868,история,науки,,
869,война,годов,,
870,атом,углерода,,
871,точка,отсчета,,
872,поток,воды,,
873,затрата,времени,,
874,кафедра,экономики,,
875,точка,невозврата,,
876,участие,государства,,
877,рынок,автоматизации,,
878,поток,машин,,
879,чувство,верующих,,
880,боеспособность,армии,,
881,процент,избирателей,,
882,руководитель,регионов,,
883,роль,науки,,
884,политика,властей,,
885,условие,войны,,
886,нанесение,ущерба,,
887,выход,ситуации,,
888,нанесение,покрытий,,
889,налог,процентов,,
890,здоровье,людей,,
891,банк,развития,,
892,условие,кризиса,,
893,тысяча,сотрудников,,
894,организация,работы,,
895,поле,человека,,
896,процесс,образования,,
897,сложность,маршрута,,
898,оплата,жилья,,
899,звено,цепи,,
900,система,счисления,,
901,руководитель,компаний,,
902,условие,роста,,
903,условие,среды,,
904,тушение,пожара,,
905,условие,труда,,
906,покупка,квартиры,,
907,гидрат,окиси,,
908,представитель,руководства,,
909,сотрудник,службы,,
910,конец,дня,,
911,созыв,собрания,,
912,импульс,света,,
913,алюминий,магния,,
914,деятель,культуры,,
915,деятель,науки,,
916,составление,прогнозов,,
917,алюминий,титана,,
918,лидер,стран,,
919,форма,протеста,,
920,поведение,людей,,
921,оскорбление,чувств,,
922,секретарь,комитета,,
923,продажа,прав,,
924,сторона,света,,
925,сок,лимона,,
926,работа,систем,,
927,метод,работы,,
928,ставка,процентов,,
929,житель,стран,,
930,поверхность,земли,,
931,срок,действия,,
932,сила,причин,,
933,имя,академика,,
934,работник,сферы,,
935,логика,экономики,,
936,концепция,развития,,
937,работник,органов,,
938,область,экономики,,
939,цель,снижения,,
940,фонд,исследований,,
941,конница,еврея,,
942,миллион,граждан,,
943,повестка,заседания,,
944,объект,наследия,,
945,строительство,завода,,
946,приток,инвестиций,,
947,лист,бумаги,,
948,реализация,идеи,,
949,средство,передвижения,,
950,часть,бюджета,,
951,метод,получения,,
952,основа,производства,,
953,метод,обработки,,
954,развитие,предпринимательства,,
955,развитие,ситуации,,
956,функционирование,системы,,
957,кандидат,партии,,
958,стереотип,поведения,,
959,элемент,конструкции,,
960,церемония,открытия,,
961,лицо,государства,,
962,лицензирование,деятельности,,
963,доказательство,существования,,
964,месторождение,нефти,,
965,принцип,относительности,,
966,место,обитания,,
967,добыча,ископаемых,,
968,сеанс,игры,,
969,сеанс,связи,,
970,конец,столетия,,
971,сообщество,пользователей,,
972,состав,делегации,,
973,стоимость,бренда,,
974,метод,лечения,,
975,метод,анализа,,
976,вес,тела,,
977,час,утра,,
978,ограничение,скорости,,
979,состав,сообщества,,
980,реализация,проектов,,
981,развитие,цивилизации,,
982,обработка,деталей,,
983,ликвидация,последствий,,
984,директор,объединения,,
985,метод,диагностики,,
986,император,империи,,
987,обработка,металлов,,
988,дело,государства,,
989,вид,литературы,,
990,состав,поселения,,
991,состав,команды,,
992,цепь,поставок,,
993,миллион,мест,,
994,место,преступления,,
995,программа,игр,,
996,президент,правительства,,
997,луч,света,,
998,мастер,дел,,
999,ступень,лестницы,,
1000,передача,власти,,
1001,министерство,ведомств,,
1002,день,выборов,,
1003,внедрение,технологий,,
1004,закон,сохранения,,
1005,доцент,кафедры,,
1006,студент,факультета,,
1007,союз,промышленников,,
1008,министр,промышленности,,
1009,капля,воды,,
1010,способ,борьбы,,
1011,осуществление,проектов,,
1012,синдром,усталости,,
1013,программа,поддержки,,
1014,перегрев,экономики,,
1015,контейнер,давления,,
1016,отмена,налога,,
1017,член,бюро,,
1018,отделение,партии,,
1019,центр,поселения,,
1020,вариант,развития,,
1021,день,начала,,
1022,залог,успеха,,
1023,основа,науки,,
1024,решение,властей,,
1025,суд,следствия,,
1026,сотня,людей,,
1027,сборка,атомов,,
1028,повышение,оплаты,,
1029,объем,производства,,
1030,свобода,вероисповедания,,
1031,этап,чемпионата,,
1032,достижение,целей,,
1033,представитель,элиты,,
1034,развитие,инфраструктуры,,
1035,основа,культуры,,
1036,развитие,детей,,
1037,прогноз,развития,,
1038,способ,решения,,
1039,лечение,заболеваний,,
1040,производство,речи,,
1041,система,безопасности,,
1042,проведение,референдума,,
1043,жертва,репрессий,,
1044,часть,жизни,,
1045,программа,создания,,
1046,развитие,демократии,,
1047,анализ,прогнозирования,,
1048,качество,товаров,,
1049,создание,материалов,,
1050,объем,услуг,,
1051,ход,гонки,,
1052,пара,дней,,
1053,условие,экономики,,
1054,половина,формы,,
1055,рост,инфляции,,
1056,черт,ладана,,
1057,пилот,планеров,,
1058,центр,образования,,
1059,восстановление,экономики,,
1060,объем,ресурсов,,
1061,блок,управления,,
1062,каприз,погоды,,
1063,рев,танков,,
1064,количество,абонентов,,
1065,ветвь,власти,,
1066,план,создания,,
1067,человек,убеждений,,
1068,центр,исследований,,
1069,боевик,группировки,,
1070,центр,имени,,
1071,пара,месяцев,,
1072,результат,катастрофы,,
1073,ведение,бизнеса,,
1074,центр,тяжести,,
1075,уровень,коррупции,,
1076,политика,партии,,
1077,введение,стандартов,,
1078,рассмотрение,вопроса,,
1079,период,размножения,,
1080,половина,населения,,
1081,вектор,намагниченности,,
1082,полк,дивизии,,
1083,блок,баков,,
1084,объект,исследований,,
1085,период,правления,,
1086,цель,развития,,
1087,категория,трудности,,
1088,регистр,федерации,,
1089,время,правления,,
1090,период,застоя,,
1091,период,колебания,,
1092,центр,совета,,
1093,определение,алгоритма,,
1094,период,колебаний,,
1095,исследование,ученых,,
1096,введение,системы,,
1097,рост,зарплат,,
1098,опреснение,воды,,
1099,общество,будущего,,
1100,восход,солнца,,
1101,полет,самолетов,,
1102,расстояние,километров,,
1103,расстановка,фигур,,
1104,объем,продукции,,
1105,пара,десятков,,
1106,пилот,планера,,
1107,рельеф,местности,,
1108,ценность,человека,,
1109,определение,порнографии,,
1110,категория,сложности,,
1111,ускорение,прогресса,,
1112,четверть,миллиона,,
1113,вариант,решения,,
1114,блок,отсеков,,
1115,вариант,шахмат,,
1116,оплата,услуг,,
1117,начальник,службы,,
1118,память,компьютера,,
1119,класс,школы,,
1120,вид,обучения,,
1121,результат,наблюдений,,
1122,услуга,связи,,
1123,океан,воды,,
1124,окончание,школы,,
1125,повышение,ответственности,,
1126,часть,района,,
1127,факт,нарушения,,
1128,клетка,тела,,
1129,качество,изображения,,
1130,поддержка,государства,,
1131,поддержка,населения,,
1132,область,наук,,
1133,оказание,услуг,,
1134,учреждение,образования,,
1135,поддержка,развития,,
1136,итог,работы,,
1137,носок,ботинка,,
1138,реформирование,науки,,
1139,область,политики,,
1140,ученый,института,,
1141,клиент,банка,,
1142,область,применения,,
1143,часть,россиян,,
1144,большинство,россиян,,
1145,повторение,позиции,,
1146,власть,управления,,
1147,область,теории,,
1148,номер,телефона,,
1149,область,физики,,
1150,власть,народа,,
1151,результат,эксперимента,,
1152,ботинок,телемарка,,
1153,влияние,факторов,,
1154,финансирование,проектов,,
1155,расширение,зоны,,
1156,внимание,специалистов,,
1157,решение,судей,,
1158,подача,тепла,,
1159,часть,области,,
1160,фигура,противника,,
1161,подвал,дома,,
1162,физика,давлений,,
1163,внимание,общественности,,
1164,внесение,изменений,,
1165,повышение,эффективности,,
1166,федерация,автоспорта,,
1167,классификация,маршрутов,,
1168,внедрение,систем,,
1169,факультет,математики,,
1170,риск,заболеваний,,
1171,часть,моря,,
1172,факультет,журналистики,,
1173,подготовка,послания,,
1174,часть,мозга,,
